DATE,Product,Sales_Quantity,CFG,CHANNEL_ID,PRODUCT_ID,Model_NAME,SCHEDULER_NAME,Pending_Order,Target
02-04-2016,ODM Mechanical,13,Camera_NB HD 1x mic M15 Maple Value-Cedar-Janus VFVY9,5000960,55725,CEDAR15HSWBTX,PHOAY_HOON_TAN (PERSONAL NB),16,Good
11-06-2016,MOUSE,8,MSE_ENTRY_OPTICAL_INDIGO_POS,5000947,55592,RHINEAIOBTX,ELISE_TAN (DT_KYBD),2,Good
30-07-2016,Graphic Card,19,Graphics_OUGA11_LP1,1865,57269,AMAZON7SFFBTX,BTX_OPTIPLEX_DESKTOPS,2,Normal
10-12-2016,ODD,13,RMSD_12_7_DVDRW_SATA_ESG_Whoville,2190,80180,PR34153ICON,SANDRA_MCDERMOTT,2,Good
23-04-2016,ODM Mechanical,13,"G6J7F-ASSY,CMRA,2M LVST12,FRT,7202",1865,71894,PR48136LIVNGSTON,JACQUEL_HIGHTOWER(LARGE ORDERS),2,Good
31-12-2016,ODD,13,"V67V7-ASSY,CBL,SATA,ODD,SFF",1865,61709,TAHOESFFBTX,BTX_VOSTRO_DESKTOPS,2,Normal
09-04-2016,CORD,10,BRH 0R215,1865,57001,PROWL OEM,RACHNA_SHETTY_PCBA,480,Good
28-11-2015,CORD,10,POWERCORD_6F190,1865,58813,PS6210XSSF26TMIX,EQUALLOGIC_BTS,6,Good
18-02-2017,ODM Mechanical,13,9GTFM_CFG,1865,57640,DINO13BTX,BTX_XPS_NOTEBOOKS,2,Bad
15-04-2017,Memory,13,MEM_SODIMM_DDR3L_1600_8GB,30000,62878,LOVELAND14BCTO,QUEENNIE_SAW (MEMNBK),2,Good
14-01-2017,Battery,13,Belmont_3_Thin_Pris,1865,199,PARTS,KERRY_NG,7,Good
04-02-2017,HDD_NB_DT,8,HDD_NB_2_5_1TB_5400_SATA3,5000004,60151,TULIP17SKLBTX,BTX_PERSONAL_NOTEBOOKS,2,Bad
23-01-2016,CORD,10,PowerCord_MJ159,2190,55274,THUNBTX,KENNETH_HOGAN_ADAPTERS_POWERCORDS,2,Good
